SEM_EXM_EXCH_ID,SEM_SMST_SECURITY_ID,SEM_TRADING_SYMBOL,SEM_CUSTOM_SYMBOL,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,10576,NIFTYBEES,Nippon Nifty 50 ETF (NIFTYBEES),ETF,EQ,NIP IND ETF NIFTY BEES
NSE,10690,NIFTYQLITY,Aditya Birla Nifty 200 Quality 30 ETF,ETF,EQ,BIRLASLAMC - NIFTYQLITY
NSE,17475,NV20IETF,ICICI Pru Nifty 50 Value 20 ETF,ETF,EQ,ICICI PRUDENTIAL NV20 ETF
NSE,24533,OILIETF,ICICI Pru Nifty Oil & Gas ETF,ETF,EQ,ICICIPRAMC - OILIETF
NSE,4973,PHARMABEES,Nippon Pharma ETF (PHARMABEES),ETF,EQ,NIPPONAMC - NETFPHARMA
NSE,15061,PSUBANK,Kotak Nifty PSU Bank ETF,ETF,EQ,KOTAK PSU BANK
NSE,11386,PVTBANIETF,ICICI Pru Nifty Private Bank ETF,ETF,EQ,ICICIPRAMC - ICICIBANKP
NSE,4378,SENSEXIETF,ICICI Pru Sensex ETF,ETF,EQ,ICICI PRUD SENSEX ETF
NSE,17044,SHARIABEES,Nippon India Nifty 50 Shariah ETF,ETF,EQ,NIP IND ETF SHARIAH BEES
NSE,8080,SILVERBEES,Nippon Silver ETF (SILVERBEES),ETF,EQ,NIPPONAMC - NETFSILVER
NSE,22832,SMALLCAP,Mirae Ast Nifty Smallcap 250 MQ 100 ETF,ETF,EQ,MIRAEAMC - SMALLCAP
NSE,8882,TNIDETF,Tata Nifty India Digital ETF,ETF,EQ,TATAAML - TNIDETF
NSE,24081,TOP100CASE,Zerodha Nifty 100 ETF,ETF,EQ,ZERODHAAMC - TOP100CASE
NSE,25171,TOP10ADD,DSP Nifty Top 10 Equal Weight ETF,ETF,EQ,DSPAMC - TOP10ADD
NSE,9168,UTISXN50,UTI Sensex Next 50 ETF,ETF,EQ,UTIAMC - UTISXN50
NSE,25851,VAL30IETF,ICICI Pru Nifty 200 Value 30 ETF,ETF,EQ,ICICIPRAMC - VAL30IETF
