security_id,symbol,name
19084,ITBEES.NS,Nippon Nifty IT ETF (ITBEES)
10576,NIFTYBEES.NS,Nippon Nifty 50 ETF (NIFTYBEES)
15061,PSUBANK.NS,Kotak Nifty PSU Bank ETF
7844,AUTOIETF.NS,ICICI Pru Nifty Auto ETF 
4973,PHARMABEES.NS,Nippon Pharma ETF (PHARMABEES) 

